Year Jan. Feb. Mar. Apr. May June July Aug. Sep. Oct. Nov. Dec.
1938 14.2 14.1 14.1 14.2 14.1 14.1 14.1 14.1 14.1 14.0 14.0 14.0
1939 14.0 13.9 13.9 13.8 13.8 13.8 13.8 13.8 14.1 14.0 14.0 14.0
1940 13.9 14.0 14.0 14.0 14.0 14.1 14.0 14.0 14.0 14.0 14.0 14.1
1941 14.1 14.1 14.2 14.3 14.4 14.7 14.7 14.9 15.1 15.3 15.4 15.5
1942 15.7 15.8 16.0 16.1 16.3 16.3 16.4 16.5 16.5 16.7 16.8 16.9
1943 16.9 16.9 17.2 17.4 17.5 17.5 17.4 17.3 17.4 17.4 17.4 17.4
1944 17.4 17.4 17.4 17.5 17.5 17.6 17.7 17.7 17.7 17.7 17.7 17.8
1945 17.8 17.8 17.8 17.8 17.9 18.1 18.1 18.1 18.1 18.1 18.1 18.2
1946 18.2 18.1 18.3 18.4 18.5 18.7 19.8 20.2 20.4 20.8 21.3 21.5
1947 21.5 21.5 21.9 21.9 21.9 22.0 22.2 22.5 23.0 23.0 23.1 23.4
1948 23.7 23.5 23.4 23.8 23.9 24.1 24.4 24.5 24.5 24.4 24.2 24.1
1949 24.0 23.8 23.8 23.9 23.8 23.9 23.7 23.8 23.9 23.7 23.8 23.6
1950 23.5 23.5 23.6 23.6 23.7 23.8 24.1 24.3 24.4 24.6 24.7 25.0
1951 25.4 25.7 25.8 25.8 25.9 25.9 25.9 25.9 26.1 26.2 26.4 26.5
1952 26.5 26.3 26.3 26.4 26.4 26.5 26.7 26.7 26.7 26.7 26.7 26.7
1953 26.6 26.5 26.6 26.6 26.7 26.8 26.8 26.9 26.9 27.0 26.9 26.9
1954 26.9 26.9 26.9 26.8 26.9 26.9 26.9 26.9 26.8 26.8 26.8 26.7
1955 26.7 26.7 26.7 26.7 26.7 26.7 26.8 26.8 26.9 26.9 26.9 26.8
1956 26.8 26.8 26.8 26.9 27.0 27.2 27.4 27.3 27.4 27.5 27.5 27.6
1957 27.6 27.7 27.8 27.9 28.0 28.1 28.3 28.3 28.3 28.3 28.4 28.4
1958 28.6 28.6 28.8 28.9 28.9 28.9 29.0 28.9 28.9 28.9 29.0 28.9
1959 29.0 28.9 28.9 29.0 29.0 29.1 29.2 29.2 29.3 29.4 29.4 29.4
1960 29.3 29.4 29.4 29.5 29.5 29.6 29.6 29.6 29.6 29.8 29.8 29.8
1961 29.8 29.8 29.8 29.8 29.8 29.8 30.0 29.9 30.0 30.0 30.0 30.0
1962 30.0 30.1 30.1 30.2 30.2 30.2 30.3 30.3 30.4 30.4 30.4 30.4
1963 30.4 30.4 30.5 30.5 30.5 30.6 30.7 30.7 30.7 30.8 30.8 30.9
1964 30.9 30.9 30.9 30.9 30.9 31.0 31.1 31.0 31.1 31.1 31.2 31.2
1965 31.2 31.2 31.3 31.4 31.4 31.6 31.6 31.6 31.6 31.7 31.7 31.8
1966 31.8 32.0 32.1 32.3 32.3 32.4 32.5 32.7 32.7 32.9 32.9 32.9
1967 32.9 32.9 33.0 33.1 33.2 33.3 33.4 33.5 33.6 33.7 33.8 33.9
1968 34.1 34.2 34.3 34.4 34.5 34.7 34.9 35.0 35.1 35.3 35.4 35.5
1969 35.6 35.8 36.1 36.3 36.4 36.6 36.8 37.0 37.1 37.3 37.5 37.7 
